! Summary of image counts for Job= nalrd_wb072Ff
! Source File: narrowlineLRD_cat.fits      X-ray Band: 500_2000
! Source from <-9 asec  Background from >= 7.0 arcsec
! Pixel_size= 0.492000000000012 arcsec
! Poststamp_img_size=60x60 (pix) 30.0x30.0 (arcsec)
! src_rate= (cts_src/exp_src-cts_bkg/exp_bkg/px_bkg*px_src)/ecf (for each field,lbl=n)
!         = (wgt*exp_src)-weighted mean of used fields (lbl=sum) or objects (lbl=All).
! UL90: 90 percent Bayasian upper limit in c/s
! *** Note: cts_src,exp_src,px_src,cts_bkg,exp_bkg px_bkg and ul90b not weighted.            
!Obj_name     lbl  rad cts_src  exp_src  px_src cts_bkg  exp_bkg  px_bkg  src_rate    wgt    ecf offax     ul90b  Field/Comm 
!                (asec)  (cts)   (sec)    (pix)   (cts)   (sec)    (pix)    (c/s)               (amin)     (c/s)
                 8219  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
                12329  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
                16321    1  6.1       1 6.93e+04      481      11 6.71e+04     2344 -2.13e-05 1.0e+00 0.900  7.04 -9.99e+00 xuds01/OK
                16321    2  1.0       0 5.19e+04       13       9 6.77e+04     3080 -6.22e-07 1.0e+00 0.902  1.58 -9.99e+00 xuds02/OK
                16321    3  2.4       1 7.51e+04       69      13 7.69e+04     3080  1.06e-05 1.0e+00 0.900  4.04 -9.99e+00 xuds03/OK
                16321    4  4.3       1 3.74e+04      241       5 3.84e+04     3073  1.83e-05 1.0e+00 0.900  5.77 -9.99e+00 xuds07/OK
                16321    5  5.5       0 3.99e+04      401       8 3.92e+04     2712 -3.36e-05 1.0e+00 0.900  6.68 -9.99e+00 xuds08/OK
                16321  sum  4.2       3 2.74e+05     1205      46 2.89e+05    14289 -5.00e-06 1.0e+00 0.900 -9.90  1.58e-05 used_flds:5
                20547    1  2.4       1 8.94e+04       69      12 8.83e+04     3080  9.05e-06 1.0e+00 0.900  4.02 -9.99e+00 xuds03/OK
                20547    2  1.4       0 8.90e+04       25      25 8.78e+04     3080 -2.57e-06 1.0e+00 0.900  2.65 -9.99e+00 xuds04/OK
                20547    3  5.7       0 5.29e+04      421      16 5.31e+04     2949 -4.78e-05 1.0e+00 0.900  6.81 -9.99e+00 xuds05/OK
                20547    4  4.2       0 4.53e+04      233      10 4.35e+04     3079 -1.93e-05 1.0e+00 0.900  5.71 -9.99e+00 xuds08/OK
                20547    5  3.1       0 4.44e+04      121       6 4.25e+04     3080 -6.16e-06 1.0e+00 0.900  4.71 -9.99e+00 xuds09/OK
                20547    6  7.0       2 2.87e+04      641       7 2.79e+04     2946  1.72e-05 1.0e+00 0.882  7.80 -9.99e+00 xuds10/OK
                20547  sum  3.8       3 3.50e+05     1510      76 3.43e+05    18214 -7.49e-06 1.0e+00 0.898 -9.90  1.15e-05 used_flds:6
                22015    1  3.2       0 6.46e+04      137      14 7.11e+04     3080 -9.74e-06 1.0e+00 0.900  4.81 -9.99e+00 xuds02/OK
                22015    2  1.0       0 9.33e+04       13      12 9.32e+04     3080 -6.07e-07 1.0e+00 0.896  1.65 -9.99e+00 xuds03/OK
                22015    3  6.5       1 5.11e+04      545      10 5.04e+04     2900 -1.97e-05 1.0e+00 0.900  7.31 -9.99e+00 xuds04/OK
                22015    4  5.7       1 3.76e+04      421       6 3.70e+04     3074  4.83e-06 1.0e+00 0.900  6.83 -9.99e+00 xuds08/OK
                22015  sum  4.1       2 2.47e+05     1116      42 2.52e+05    12134 -6.13e-06 1.0e+00 0.899 -9.90  1.53e-05 used_flds:4
!          ================= Final Summed Result =====================
 sum_all      All  4.0       8 8.70e+05     3831     164 8.84e+05    44637 -6.32e-06 1.0e+00 0.899 -9.90  5.37e-06 used_objs:3
!          =============================================================
!Accepted: 3  Near_src: 0  Out: 2   Total: 5
!Final Stacked Rate: -6.32e-06 +/-  4.05e-06 (Counting Statistics Error)
!Total Exposure:  8.70e+05 [sec]
!Please refer to bootstrap results for  better error analysis.
! Notes from Dataset (if any):
! This is based on the dataset from the Chandra X-UDS project (PI: Hasinger). 
! 
! For more details, see <a href="./Notes_XUDS_1.txt">this page</a>.
! 
!Created by ./stackanalysis_v4.pl in https://lambic.astrosen.unam.mx/cstack_v4.5/Users/nalrd_wb072Ff
